,neutral,positive,negative
0,0.0008993410949936679,0.0004955552972414088,0.00022636476540656948
1,0.0007141127304565975,0.00045330634194201404,0.0002049193052614584
2,0.0009694990496358,0.00044647982549017107,0.0003189141610644079
3,0.000757392959596772,0.00038204777607978767,0.00021448296200970535
4,0.0008749990320807168,0.0005652648614326754,0.00020132721092122686
5,0.0009974603125887163,0.0005984761875532298,0.00026854700723542363
6,0.0007229835663398348,0.00037367689945654384,0.00023557891487477762
7,0.0008301190675834312,0.0005031024652020795,0.00022639610934093577
8,0.0006185696164868377,0.00044630972328797155,0.00010178993689023913
9,0.0007164218891878608,0.0005081597120983664,0.0001082963320865371
10,0.0004950495049504951,0.0002955519432540269,9.605438155755874e-05
11,0.0004927460738696757,0.0003026868739485151,9.150998514722548e-05
12,0.000543695200341358,0.00028905314448527894,7.570439498423972e-05
13,0.0009682479231082049,0.00041311911385950075,0.00026465443231624266
14,0.0009255057441066183,0.0005612744512646588,0.00013136210561513293
15,0.00063971031985516,0.000343995171997586,0.0001327700663850332
16,0.0006702000762429445,0.00030128260308169065,0.0001352697401591264
17,0.0008049155145929339,0.000522273425499232,0.000141321044546851
18,0.0008704983192265157,0.0004763104010862067,0.00026279194542687265
19,0.0009200337345702676,0.0006093205873689053,0.0001614094271175908
20,0.0006557936086354902,0.00040659203735400395,0.00015083252998616275
21,0.0008120156216338638,0.0004474371792676392,0.00017124138959625698
22,0.0005063132331460423,0.000304684069503813,0.00012545814626627595
23,0.0009261444077394998,0.0004955167531854648,0.0001415762151958471
24,0.0008273845028958458,0.0004040715014142503,0.00016675966725032552
25,0.001083271735528764,0.0005862411745214488,0.0002612596538628196
26,0.0011853166177026673,0.0006544692981180372,0.0002327001948864132
27,0.001368495025335651,0.0008506860968302696,0.00028109627547435
28,0.001757817335545047,0.0010645935975836201,0.000321853878339234
29,0.002244190670984603,0.0012972747760543908,0.0004923962653637104
