,neutral,positive,negative
0,0.0008993410949936679,0.0005383810636696788,0.0003120162982631093
1,0.0007141127304565975,0.00043467731419097235,0.0002732257403486112
2,0.0009694990496358,0.0005485323570307816,0.0003954535597198658
3,0.000757392959596772,0.00036864259095418107,0.00020778036944690207
4,0.0008749990320807168,0.00015486708532402066,0.00010840695972681446
5,0.0009974603125887163,0.00025320146396482803,7.672771635297818e-05
6,0.0007229835663398348,0.00014622139543951713,0.00012185116286626428
7,0.0008301190675834312,0.00014254569847392252,0.0001006204930404159
8,0.0006185696164868377,0.00014876990776265718,7.046995630862709e-05
9,0.0007164218891878608,0.00020826217708949443,7.4974383752218e-05
10,0.0004950495049504951,0.0002955519432540269,0.00012560957588296143
11,0.0004927460738696757,0.0002886084146950958,0.00010558844440064479
12,0.000543695200341358,0.000282170926759439,0.00018581987859767933
13,0.0009682479231082049,0.0005486738230946495,0.0002388344877000239
14,0.0009255057441066183,0.0005075354080584681,0.0002686952160309537
15,0.00063971031985516,0.0003500301750150875,0.00015691007845503922
16,0.0006702000762429445,0.0003258771012924409,0.00012912111560643884
17,0.0008049155145929339,0.00041781874039938555,0.00020276497695852533
18,0.0008704983192265157,0.0003175402673908045,0.00018066946248097496
19,0.0009200337345702676,0.00035106550398075997,8.473994923673517e-05
20,0.0006557936086354902,0.0004918452064766177,0.00013771665781345295
21,0.0008120156216338638,0.00043638934768078393,0.0002430522949108164
22,0.0005063132331460423,0.0002867614771800593,0.00017474527515659865
23,0.0009261444077394998,0.0006724870221802737,0.00024185936762623878
24,0.0008273845028958458,0.0005964865020877027,0.00022448416745236125
25,0.001083271735528764,0.000898478321820916,0.00018479341370784797
26,0.0011853166177026673,0.0008726257308240495,0.00031269088687861776
27,0.001368495025335651,0.0009986315049746643,0.0003698635203609868
28,0.001757817335545047,0.001336931494639895,0.0004208858409051521
29,0.002244190670984603,0.0016665719750771737,0.0005776186959074295
