,0,1,2
0,0.001,0.19358525417337535,0.07101141187336782
1,0.001,0.25,0.25
2,1.0371044993889051e-08,1.9402158172675615e-08,4.589522144488515e-08
3,7.391000698872168e-09,1.771681047524845e-08,3.816413525096725e-08
4,7.803280478096768e-05,0.00024087958832745345,0.000389379865094949
5,"TtestResult(statistic=3.491785078538408, pvalue=0.0009245428725653365, df=58.0)","TtestResult(statistic=0.6112975414909254, pvalue=0.5433911921754704, df=58.0)","TtestResult(statistic=0.8379025386462802, pvalue=0.40552516157407936, df=58.0)"
6,"TtestResult(statistic=2.77939546691077, pvalue=0.007328859874854581, df=58.0)","TtestResult(statistic=-0.19762104076172932, pvalue=0.8440325422370635, df=58.0)","TtestResult(statistic=-0.015037094529451334, pvalue=0.9880541934776592, df=58.0)"
