,0,1,2
0,0.25,0.001,0.07101141187336782
1,0.25,0.001,0.25
2,7.693709302639806e-09,5.7079427882970356e-08,4.589522144488515e-08
3,5.628932101682577e-09,6.899763156473115e-08,3.816413525096725e-08
4,7.803280478096768e-05,0.00024087958832745345,0.000389379865094949
5,"TtestResult(statistic=0.3524669012154103, pvalue=0.72576574336887, df=58.0)","TtestResult(statistic=-3.4378902512118494, pvalue=0.0010912040683839408, df=58.0)","TtestResult(statistic=0.8379025386462802, pvalue=0.40552516157407936, df=58.0)"
6,"TtestResult(statistic=-0.059172780244738155, pvalue=0.9530178999353085, df=58.0)","TtestResult(statistic=-4.095611275662668, pvalue=0.0001322231778334427, df=58.0)","TtestResult(statistic=-0.015037094529451334, pvalue=0.9880541934776592, df=58.0)"
