,0,1,2
0,0.001,0.001,0.07101141187336782
1,0.001,0.001,0.25
2,2.912926526072436e-07,2.3967094194865954e-07,4.589522144488515e-08
3,2.2750327456207625e-07,2.4352639361611705e-07,3.816413525096725e-08
4,7.803280478096768e-05,0.00024087958832745345,0.000389379865094949
5,"TtestResult(statistic=8.944085731801474, pvalue=1.6401040877284955e-12, df=58.0)","TtestResult(statistic=-9.85447671130297, pvalue=5.3286517104306674e-14, df=58.0)","TtestResult(statistic=0.8379025386462802, pvalue=0.40552516157407936, df=58.0)"
6,"TtestResult(statistic=8.650396973255052, pvalue=5.028080822932876e-12, df=58.0)","TtestResult(statistic=-9.953484543344413, pvalue=3.68845882149123e-14, df=58.0)","TtestResult(statistic=-0.015037094529451334, pvalue=0.9880541934776592, df=58.0)"
