,0,1,2
0,0.001,0.001,0.001
1,0.001,0.001,0.0014460814559009597
2,6.579858454164091e-08,2.6530876808578693e-07,2.1843903809659995e-07
3,2.0793253926869522e-07,2.562653032372821e-07,9.270366647464881e-08
4,7.803280478096768e-05,0.00024087958832745345,0.000389379865094949
5,"TtestResult(statistic=4.912823632198815, pvalue=7.696379765748188e-06, df=58.0)","TtestResult(statistic=-10.50217037909731, pvalue=4.894240791567716e-15, df=58.0)","TtestResult(statistic=-4.807416590732584, pvalue=1.1231147045140935e-05, df=58.0)"
6,"TtestResult(statistic=6.137824346530051, pvalue=8.067556426457504e-08, df=58.0)","TtestResult(statistic=-10.307816526971365, pvalue=9.971175039934426e-15, df=58.0)","TtestResult(statistic=-2.0316541160866857, pvalue=0.04677858683954506, df=58.0)"
