,0,1,2
0,0.001,0.001,0.001
1,0.001,0.001,0.0014460814559009597
2,6.12962310508666e-08,2.62092683836478e-07,2.1843903809659995e-07
3,1.9399209667393855e-07,2.5181592488867407e-07,9.270366647464881e-08
4,7.803280478096768e-05,0.00024087958832745345,0.000389379865094949
5,"TtestResult(statistic=5.104068611583697, pvalue=3.849674782692033e-06, df=58.0)","TtestResult(statistic=-10.446786166173197, pvalue=5.9919605066206e-15, df=58.0)","TtestResult(statistic=-4.807416590732584, pvalue=1.1231147045140935e-05, df=58.0)"
6,"TtestResult(statistic=6.434325825109325, pvalue=2.5945260645952956e-08, df=58.0)","TtestResult(statistic=-10.187272905561029, pvalue=1.5536441029043567e-14, df=58.0)","TtestResult(statistic=-2.0316541160866857, pvalue=0.04677858683954506, df=58.0)"
