,0,1,2
0,0.001,0.001,0.07101141187336782
1,0.001,0.001,0.25
2,4.647550377675443e-07,2.5061218971256334e-07,4.589522144488515e-08
3,3.670106467061136e-07,2.5352972109833953e-07,3.816413525096725e-08
4,7.803280478096768e-05,0.00024087958832745345,0.000389379865094949
5,"TtestResult(statistic=11.353135233521032, pvalue=2.285616538333451e-16, df=58.0)","TtestResult(statistic=-10.093090719640244, pvalue=2.1994540162575747e-14, df=58.0)","TtestResult(statistic=0.8379025386462802, pvalue=0.40552516157407936, df=58.0)"
6,"TtestResult(statistic=11.052549200937472, pvalue=6.679528209405213e-16, df=58.0)","TtestResult(statistic=-10.167923793771504, pvalue=1.6685220913983038e-14, df=58.0)","TtestResult(statistic=-0.015037094529451334, pvalue=0.9880541934776592, df=58.0)"
