,0,1,2
0,0.001,0.001,0.001
1,0.015696493559284302,0.001,0.0014460814559009597
2,6.208664429917204e-09,1.6955739517932565e-07,2.1843903809659995e-07
3,3.479369827301462e-09,1.244999598728892e-07,9.270366647464881e-08
4,7.803280478096768e-05,0.00024087958832745345,0.000389379865094949
5,"TtestResult(statistic=-3.604385321061173, pvalue=0.0006510792543712789, df=58.0)","TtestResult(statistic=-8.018030962886229, pvalue=5.7130316987638635e-11, df=58.0)","TtestResult(statistic=-4.807416590732584, pvalue=1.1231147045140935e-05, df=58.0)"
6,"TtestResult(statistic=-1.4546546417562376, pvalue=0.15115568381681208, df=58.0)","TtestResult(statistic=-6.409441163344794, pvalue=2.8545137620584154e-08, df=58.0)","TtestResult(statistic=-2.0316541160866857, pvalue=0.04677858683954506, df=58.0)"
