,0,1,2
0,0.001,0.001,0.001
1,0.001,0.001,0.0014460814559009597
2,7.550943593417422e-09,2.2150222435814354e-07,2.1843903809659995e-07
3,7.831751778140128e-09,1.9303210697110148e-07,9.270366647464881e-08
4,7.803280478096768e-05,0.00024087958832745345,0.000389379865094949
5,"TtestResult(statistic=-3.5851019911736706, pvalue=0.0006916638331653129, df=58.0)","TtestResult(statistic=-9.454774165099046, pvalue=2.3766489869242346e-13, df=58.0)","TtestResult(statistic=-4.807416590732584, pvalue=1.1231147045140935e-05, df=58.0)"
6,"TtestResult(statistic=-1.8445629551892402, pvalue=0.07020969909530096, df=58.0)","TtestResult(statistic=-8.650037059651998, pvalue=5.0350073650617e-12, df=58.0)","TtestResult(statistic=-2.0316541160866857, pvalue=0.04677858683954506, df=58.0)"
